,label
20230920115032_trial_288_start-576_end-749.mp4,"['f2_only', 576, 749]"
20230920115032_trial_55_start-75_end-88.mp4,"['neither', 75, 88]"
20230920115032_trial_245_start-136_end-685.mp4,"['f2_only', 136, 685]"
20230920115032_trial_241_start-472_end-749.mp4,"['f2_only', 472, 749]"
20230920115032_trial_56_start-241_end-302.mp4,"['f2_only', 241, 302]"
20230920115032_trial_294_start-202_end-333.mp4,"['neither', 202, 333]"
20230920115032_trial_248_start-0_end-215.mp4,"['f2_only', 0, 215]"
20230920115032_trial_247_start-380_end-728.mp4,"['f2_only', 380, 728]"
20230920115032_trial_247_start-238_end-245.mp4,"['neither', 238, 245]"
20230920115032_trial_239_start-0_end-93.mp4,"['neither', 0, 93]"
20230920115032_trial_253_start-482_end-591.mp4,"['neither', 482, 591]"
20230920115032_trial_240_start-90_end-195.mp4,"['f2_only', 90, 195]"
20230920115032_trial_56_start-450_end-482.mp4,"['f2_only', 450, 482]"
20230920115032_trial_245_start-0_end-84.mp4,"['neither', 0, 84]"
20230920115032_trial_55_start-106_end-110.mp4,"['neither', 106, 110]"
20230920115032_trial_15_start-348_end-350.mp4,"['neither', 348, 350]"
20230920115032_trial_251_start-0_end-68.mp4,"['neither', 0, 68]"
20230920115032_trial_14_start-605_end-712.mp4,"['neither', 605, 712]"
20230920115032_trial_287_start-47_end-54.mp4,"['neither', 47, 54]"
20230920115032_trial_12_start-305_end-315.mp4,"['neither', 305, 315]"
20230920115032_trial_240_start-243_end-368.mp4,"['neither', 243, 368]"
20230920115032_trial_243_start-0_end-404.mp4,"['f2_only', 0, 404]"
20230920115032_trial_14_start-333_end-434.mp4,"['f2_only', 333, 434]"
20230920115032_trial_56_start-615_end-729.mp4,"['f2_only', 615, 729]"
20230920115032_trial_277_start-169_end-172.mp4,"['neither', 169, 172]"
20230920115032_trial_247_start-227_end-234.mp4,"['neither', 227, 234]"
20230920115032_trial_13_start-344_end-448.mp4,"['neither', 344, 448]"
20230920115032_trial_56_start-442_end-449.mp4,"['neither', 442, 449]"
20230920115032_trial_280_start-23_end-91.mp4,"['f2_only', 23, 91]"
20230920115032_trial_58_start-472_end-702.mp4,"['f2_only', 472, 702]"
20230920115032_trial_243_start-407_end-411.mp4,"['neither', 407, 411]"
20230919065924_trial_410_start-259_end-361.mp4,"['f2_only', 259, 361]"
20230919065924_trial_154_start-582_end-668.mp4,"['f2_only', 582, 668]"
20230919065924_trial_409_start-534_end-581.mp4,"['f2_only', 534, 581]"
20230919065924_trial_275_start-96_end-290.mp4,"['f2_only', 96, 290]"
20230919065924_trial_157_start-508_end-710.mp4,"['f2_only', 508, 710]"
20230919065924_trial_0_start-379_end-749.mp4,"['f1_only', 379, 749]"
20230919065924_trial_412_start-540_end-690.mp4,"['f2_only', 540, 690]"
20230919065924_trial_84_start-0_end-749.mp4,"['interaction', 0, 749]"
20230919065924_trial_407_start-19_end-365.mp4,"['f2_only', 19, 365]"
20230919065924_trial_689_start-94_end-192.mp4,"['f2_only', 94, 192]"
20230919065924_trial_3_start-135_end-575.mp4,"['f2_only', 135, 575]"
20230919065924_trial_412_start-357_end-459.mp4,"['f2_only', 357, 459]"
20230919065924_trial_75_start-179_end-717.mp4,"['f2_only', 179, 717]"
20230919065924_trial_36_start-150_end-503.mp4,"['interaction', 150, 503]"
20230919065924_trial_167_start-15_end-120.mp4,"['f2_only', 15, 120]"
20230919065924_trial_34_start-336_end-471.mp4,"['f2_only', 336, 471]"
20230919065924_trial_3_start-0_end-126.mp4,"['f2_only', 0, 126]"
20230919065924_trial_38_start-6_end-749.mp4,"['f2_only', 6, 749]"
20230919065924_trial_3_start-586_end-749.mp4,"['f2_only', 586, 749]"
20230919065924_trial_274_start-74_end-345.mp4,"['neither', 74, 345]"
20230919065924_trial_407_start-385_end-391.mp4,"['f2_only', 385, 391]"
20230919065924_trial_85_start-94_end-740.mp4,"['f1_only', 94, 740]"
20230919065924_trial_689_start-48_end-85.mp4,"['f2_only', 48, 85]"
20230919065924_trial_410_start-490_end-579.mp4,"['f2_only', 490, 579]"
20230919065924_trial_407_start-432_end-728.mp4,"['f2_only', 432, 728]"
20230919065924_trial_3_start-131_end-133.mp4,"['neither', 131, 133]"
20230919065924_trial_0_start-0_end-338.mp4,"['f2_only', 0, 338]"
20230918104308_trial_11_start-455_end-719.mp4,"['f2_only', 455, 719]"
20230918104308_trial_63_start-490_end-648.mp4,"['f2_only', 490, 648]"
20230918104308_trial_237_start-177_end-276.mp4,"['f2_only', 177, 276]"
20230918104308_trial_237_start-42_end-143.mp4,"['f2_only', 42, 143]"
20230918104308_trial_270_start-395_end-667.mp4,"['f2_only', 395, 667]"
20230918104308_trial_270_start-0_end-274.mp4,"['f2_only', 0, 274]"
20230918104308_trial_11_start-0_end-149.mp4,"['neither', 0, 149]"
20230918104308_trial_63_start-657_end-735.mp4,"['f2_only', 657, 735]"
20230918104308_trial_52_start-221_end-355.mp4,"['f2_only', 221, 355]"
20230918104308_trial_179_start-0_end-77.mp4,"['f2_only', 0, 77]"
20230918104308_trial_32_start-0_end-468.mp4,"['f2_only', 0, 468]"
20230918104308_trial_89_start-0_end-384.mp4,"['f2_only', 0, 384]"
20230918104308_trial_5_start-389_end-748.mp4,"['neither', 389, 748]"
20230918104308_trial_52_start-58_end-67.mp4,"['f2_only', 58, 67]"
20230918104308_trial_47_start-676_end-749.mp4,"['f2_only', 676, 749]"
20230918104308_trial_63_start-0_end-383.mp4,"['interaction', 0, 383]"
20230918104308_trial_52_start-47_end-54.mp4,"['f2_only', 47, 54]"
20230918104308_trial_7_start-0_end-749.mp4,"['f2_only', 0, 749]"
20230918104308_trial_1_start-372_end-749.mp4,"['interaction', 372, 749]"
20230918104308_trial_237_start-144_end-146.mp4,"['neither', 144, 146]"
20230918104308_trial_47_start-0_end-635.mp4,"['interaction', 0, 635]"
20230918104308_trial_39_start-0_end-749.mp4,"['interaction', 0, 749]"
20230918104308_trial_270_start-683_end-685.mp4,"['neither', 683, 685]"
20230918104308_trial_89_start-554_end-749.mp4,"['f2_only', 554, 749]"
20230918104308_trial_62_start-574_end-749.mp4,"['f2_only', 574, 749]"
20230918104308_trial_52_start-418_end-647.mp4,"['f2_only', 418, 647]"
20230918104308_trial_52_start-75_end-178.mp4,"['f2_only', 75, 178]"
20230918104308_trial_32_start-472_end-744.mp4,"['f2_only', 472, 744]"
20230918104308_trial_1_start-121_end-341.mp4,"['f2_only', 121, 341]"
20230915075056_trial_403_start-343_end-434.mp4,"['f2_only', 343, 434]"
20230915075056_trial_403_start-540_end-749.mp4,"['f2_only', 540, 749]"
20230915075056_trial_632_start-94_end-215.mp4,"['f2_only', 94, 215]"
20230915075056_trial_617_start-97_end-202.mp4,"['f2_only', 97, 202]"
20230915075056_trial_632_start-85_end-87.mp4,"['f2_only', 85, 87]"
20230915075056_trial_403_start-504_end-506.mp4,"['f2_only', 504, 506]"
20230915075056_trial_542_start-502_end-688.mp4,"['f2_only', 502, 688]"
20230915075056_trial_619_start-617_end-674.mp4,"['f2_only', 617, 674]"
20230915075056_trial_403_start-334_end-341.mp4,"['f2_only', 334, 341]"
20230914092756_trial_503_start-227_end-522.mp4,"['f1_only', 227, 522]"
20230914092756_trial_14_start-316_end-576.mp4,"['f2_only', 316, 576]"
20230914092756_trial_27_start-339_end-443.mp4,"['f2_only', 339, 443]"
20230914092756_trial_29_start-0_end-74.mp4,"['f2_only', 0, 74]"
20230914092756_trial_13_start-0_end-749.mp4,"['f2_only', 0, 749]"
20230914092756_trial_14_start-0_end-173.mp4,"['f2_only', 0, 173]"
20230914092756_trial_27_start-0_end-327.mp4,"['f2_only', 0, 327]"
20230914092756_trial_504_start-0_end-227.mp4,"['f1_only', 0, 227]"
20230914092756_trial_27_start-474_end-749.mp4,"['f2_only', 474, 749]"
20230914092756_trial_35_start-0_end-479.mp4,"['interaction', 0, 479]"
20230914092756_trial_11_start-0_end-61.mp4,"['f2_only', 0, 61]"
20230914092756_trial_503_start-533_end-714.mp4,"['f1_only', 533, 714]"
20230914092756_trial_11_start-624_end-749.mp4,"['f2_only', 624, 749]"
20230914092756_trial_503_start-0_end-123.mp4,"['f1_only', 0, 123]"
20230913114306_trial_56_start-109_end-215.mp4,"['f2_only', 109, 215]"
20230913114306_trial_252_start-276_end-278.mp4,"['neither', 276, 278]"
20230913114306_trial_2_start-525_end-709.mp4,"['f2_only', 525, 709]"
20230913114306_trial_210_start-0_end-749.mp4,"['f1_only', 0, 749]"
20230913114306_trial_13_start-584_end-749.mp4,"['interaction', 584, 749]"
20230913114306_trial_56_start-0_end-102.mp4,"['f2_only', 0, 102]"
20230913114306_trial_56_start-650_end-749.mp4,"['f2_only', 650, 749]"
20230913114306_trial_13_start-253_end-565.mp4,"['f2_only', 253, 565]"
20230913114306_trial_16_start-0_end-436.mp4,"['interaction', 0, 436]"
20230913114306_trial_252_start-279_end-749.mp4,"['f1_only', 279, 749]"
20230913114306_trial_96_start-43_end-356.mp4,"['f2_only', 43, 356]"
20230913114306_trial_2_start-80_end-266.mp4,"['f2_only', 80, 266]"
